credit_risk_level,total_loans,actual_default_loans,predicted_default_loans,total_loan_amount,average_loan_amount,average_predicted_default_probability,average_credit_risk_score,actual_default_rate,predicted_default_rate,risk_order
Very High,3335,2157,3073,40593575,12171.986506746627,0.8243006602350224,16.85247376311844,0.6467766116941529,0.9214392803598201,4
High,7435,2896,4796,77185975,10381.435776731674,0.6069989441537725,11.730329522528582,0.38950907868190987,0.6450571620712845,3
Medium,11997,1574,1917,114365500,9532.841543719263,0.3067493037969318,7.3721763774276905,0.1311994665333,0.15978994748687173,2
Low,9644,462,100,78792850,8170.142057237661,0.13783605909366903,3.6804230609705515,0.047905433430111985,0.010369141435089175,1
