income_band,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
<30k,4486,2045,24465525,23756.643780650913,5453.750557289344,11.269780427998217,0.23211324119482835,0.45586268390548373
30k-50k,9513,2441,75612300,40869.686429097026,7948.312835067802,11.065224955324293,0.19655944497004102,0.25659623672868703
50k-75k,9585,1691,95978875,62289.825352112675,10013.445487741263,10.934727177882108,0.16068440271257173,0.17642149191444967
75k-100k,4639,512,55102000,87212.50571243803,11877.990946324639,10.816894804914853,0.1364755335201552,0.11036861392541496
100k+,4188,400,59779200,152537.29799426935,14273.925501432665,11.070059694364852,0.10359598853868195,0.09551098376313276
