loan_grade,total_loans,actual_default_loans,predicted_default_loans,total_loan_amount,average_loan_amount,average_interest_rate,average_predicted_default_probability,average_credit_risk_score,actual_default_rate,predicted_default_rate
A,10703,1066,1022,91464650,8545.702139587032,7.343368214519295,0.2176460033056957,4.683172942165748,0.09959824348313558,0.09548724656638326
B,10384,1695,2207,103742875,9990.646667950694,10.995162750385209,0.32161247597337195,7.170839753466872,0.16323189522342066,0.21253852080123267
C,6436,1336,2185,59343250,9220.517402113113,13.466183965195773,0.41055607114187437,11.08980733374767,0.20758234928527036,0.33949658172778124
D,3620,2138,3264,39297850,10855.759668508288,15.356342541436463,0.7946944944993052,13.91049723756906,0.5906077348066299,0.901657458563536
E,963,621,912,12441875,12919.91173416407,16.992170301142263,0.8403738604073686,16.26998961578401,0.6448598130841121,0.9470404984423676
F,241,170,232,3546875,14717.323651452281,18.60085062240664,0.8788138153279477,17.365145228215766,0.7053941908713693,0.9626556016597511
G,64,63,64,1100525,17195.703125,20.244375,0.9710309110462184,18.546875,0.984375,1.0
