model_risk_band,total_loans,actual_default_loans,predicted_default_loans,total_loan_amount,average_loan_amount,average_predicted_default_probability,average_credit_risk_score,actual_default_rate,predicted_default_rate
10%-25%,9298,607,0,77526775,8338.00548505055,0.16818239159127554,5.976876747687675,0.06528285652828565,0.0
25%-50%,7507,891,0,67085125,8936.342746769682,0.35723631669498324,8.314906087651526,0.11868922339150127,0.0
50%-75%,4088,1205,4088,44032375,10771.128913894325,0.620877715255784,10.717221135029353,0.2947651663405088,1.0
75%+,5798,4281,5798,66397000,11451.707485339772,0.8879700598102401,13.9577440496723,0.7383580545015522,1.0
<10%,5720,105,0,55896625,9772.137237762237,0.05932006818669513,4.304895104895105,0.018356643356643356,0.0
