loan_intent,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
DEBTCONSOLIDATION,5189,1488,49841750,66503.46675660051,9605.270765079977,11.017525534785122,0.1709057621892465,0.28676045480824824
MEDICAL,6042,1617,56018875,61476.8311817279,9271.578119827871,11.047301390268123,0.1732588546838795,0.2676266137040715
HOMEIMPROVEMENT,3594,940,37241475,73575.10990539788,10362.124373956594,11.221551196438508,0.16550639955481358,0.2615470228158041
PERSONAL,5497,1094,52664100,66741.33600145533,9580.51664544297,10.989886301619064,0.16939785337456795,0.19901764598872113
EDUCATION,6409,1106,60750200,64106.84537369324,9478.889062256203,10.97156654704322,0.17017007333437356,0.17256982368544235
VENTURE,5680,844,54421500,66394.76778169014,9581.25,10.94963028169014,0.17041725352112677,0.14859154929577464
