loan_amount_band,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
25k+,450,151,14197600,133084.04222222223,31550.222222222223,12.289911111111111,0.2973111111111111,0.33555555555555555
15k-25k,4460,1440,90597800,93138.94865470853,20313.40807174888,12.140421524663678,0.2672130044843049,0.32286995515695066
10k-15k,6091,1406,79091175,72132.75586931538,12984.924478739124,10.999665900508948,0.2242012805779018,0.23083237563618453
<5k,9428,1930,32764075,51015.33167161646,3475.188268985999,10.832179677556216,0.0915984302078914,0.20470937632583794
5k-10k,11982,2162,94287250,61775.82473710566,7869.074445000834,10.713451009848105,0.16387080620931396,0.18043732265064263
