interest_rate_band,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
20%+,79,68,1107225,72850.03797468354,14015.506329113925,20.798734177215188,0.20025316455696202,0.8607594936708861
16%-20%,1808,1122,22328900,68443.25221238939,12350.055309734513,17.218238384955754,0.1986725663716814,0.620575221238938
12%-16%,10282,3261,101744950,64452.81608636452,9895.443493483757,13.866973351488037,0.17872495623419568,0.3171561952927446
8%-12%,11346,1805,110161425,66095.63114754099,9709.274193548386,10.514484399788472,0.17218050414242905,0.1590869028732593
<8%,8896,833,75595400,66737.09375,8497.684352517985,7.027746178057554,0.15198178956834532,0.09363758992805755
