credit_risk_level,total_loans,default_loans,total_loan_amount,average_loan_amount,average_income,average_interest_rate,average_loan_percent_income,average_credit_risk_score,default_rate,risk_order
Very High,3335,2157,40593575,12171.986506746627,54408.28335832084,15.585677661169415,0.2404047976011994,16.85247376311844,0.6467766116941529,4
High,7435,2896,77185975,10381.435776731674,59526.291593813046,13.433466039004708,0.20485272360457296,11.730329522528582,0.38950907868190987,3
Medium,11997,1574,114365500,9532.841543719263,61928.1141118613,10.506581645411353,0.17207885304659498,7.3721763774276905,0.1311994665333,2
Low,9644,462,78792850,8170.142057237661,79721.84124844463,8.219260680215678,0.11706760680215678,3.6804230609705515,0.047905433430111985,1
