loan_grade,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
G,64,63,1100525,76773.296875,17195.703125,20.244375,0.24390625,0.984375
F,241,170,3546875,77008.73029045643,14717.323651452281,18.60085062240664,0.21564315352697094,0.7053941908713693
E,963,621,12441875,70856.3603322949,12919.91173416407,16.992170301142263,0.20610591900311526,0.6448598130841121
D,3620,2138,39297850,63703.096961325966,10855.759668508288,15.356342541436463,0.19098066298342542,0.5906077348066299
C,6436,1336,59343250,64012.983064014916,9220.517402113113,13.466183965195773,0.17014760720944686,0.20758234928527036
B,10384,1695,103742875,66317.05710708782,9990.646667950694,10.995162750385209,0.17528120184899848,0.16323189522342066
A,10703,1066,91464650,66605.83612071382,8545.702139587032,7.343368214519295,0.15375689059142297,0.09959824348313558
