person_home_ownership,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
RENT,16375,5177,145164750,55004.79432061069,8865.022900763359,11.457403358778627,0.18259908396946564,0.3161526717557252
OTHER,106,33,1168975,76561.27358490566,11028.066037735849,12.131792452830188,0.19113207547169814,0.3113207547169811
MORTGAGE,13367,1687,141457475,80699.292735842,10582.589586294605,10.503947407795318,0.15142589960350117,0.12620632901922646
OWN,2563,192,23146700,57858.82832618026,9031.096371439718,10.871186110027311,0.18877487319547404,0.07491221225126804
