age_band,total_loans,default_loans,total_loan_amount,average_income,average_loan_amount,average_interest_rate,average_loan_percent_income,default_rate
60+,65,17,808375,98879.89230769231,12436.538461538461,11.41876923076923,0.18738461538461537,0.26153846153846155
18-25,15245,3527,140428650,58972.14037389308,9211.45621515251,10.989089865529682,0.17505870777304033,0.23135454247294196
46-60,581,127,5673000,83967.97246127366,9764.19965576592,11.078485370051636,0.15864027538726333,0.21858864027538727
26-35,13711,2837,135979725,70382.48916928015,9917.564364378966,11.019043104077019,0.166500619940194,0.20691415651666545
36-45,2809,581,28048150,77095.56817372731,9985.101459594161,11.171402634389462,0.16456034175863296,0.20683517265930937
